2026-03-11 17:18:26 INFO  c.d.factoraje.FactorajeApplication - Starting FactorajeApplication using Java 1.8.0_441 on SV03L000N3218 with PID 3912 (C:\Users\91737\Documents\WORKPLACE\SOFTWARE DEVELOPMENT\Repositorios davicash\CXP_DAV_SERVER\target\classes started by 91737 in C:\Users\91737\Documents\WORKPLACE\SOFTWARE DEVELOPMENT\Repositorios davicash\CXP_DAV_SERVER)
2026-03-11 17:18:27 INFO  c.d.factoraje.FactorajeApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-11 17:18:27 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-03-11 17:18:27 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-03-11 17:18:29 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-11 17:18:30 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 626 ms. Found 13 JPA repository interfaces.
2026-03-11 17:18:35 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-03-11 17:18:35 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-11 17:18:35 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-03-11 17:18:35 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-11 17:18:35 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8249 ms
2026-03-11 17:18:35 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-11 17:18:37 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-11 17:18:37 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-11 17:18:37 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2026-03-11 17:18:38 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2026-03-11 17:18:38 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2026-03-11 17:18:41 INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.davivienda.factoraje.domain.model.LogDocumentModel (class must be instantiated by Interceptor)
2026-03-11 17:18:42 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2026-03-11 17:18:42 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-11 17:18:43 INFO  c.d.f.service.OperationsService - Clave secreta para JWT cargada correctamente.
2026-03-11 17:18:43 INFO  c.d.f.service.OperationsService - Tiempo de expiración para JWT cargado: 900000 ms.
2026-03-11 17:18:44 INFO  c.d.factoraje.service.RoleService - RoleService initialized
2026-03-11 17:18:44 INFO  c.d.factoraje.service.UserService - UserService initialized
2026-03-11 17:18:44 INFO  c.d.f.controller.RoleController - AcceptanceAuditService initialized
2026-03-11 17:18:44 INFO  c.d.f.controller.RoleController - AcceptanceAuditController initialized
2026-03-11 17:18:44 INFO  c.d.factoraje.service.EntityService - EntityService initialized
2026-03-11 17:18:44 INFO  c.d.f.service.DocumentService - DocumentService initialized
2026-03-11 17:18:44 INFO  c.d.f.service.AgreementService - AgreementService initialized
2026-03-11 17:18:44 INFO  c.d.f.controller.AgreementController - AgreementController initialized
2026-03-11 17:18:44 INFO  c.d.f.controller.AuthController - AuthController initialized
2026-03-11 17:18:44 INFO  c.d.f.controller.EntityController - EntityController initialized
2026-03-11 17:18:44 INFO  c.d.f.service.OperationsService - OperationsService inicializado y listo para usar el servicio de parámetros en caché.
